GEM unit/phase ID,GEM location ID,Country,Wiki URL,Plant name,Unit name,Plant name (local),Plant name (other),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Previous Region,Latitude,Longitude,Location accuracy,Permits (Detail),Permits (Main Date Only),Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Financier,Financier Public or Private,Financier Type,Domestic/International,Financier Country,Advisor,Type of Finance,Equity Partnership,Units Included,Financing Status,Repaid?,Close Date,Close Year,All Finance This Plant,This Financier's Total Share,This Financier's Unit Share,EPC Company,Insurance,Equipment (GENMFR),TurbMFR,BoilerMFR
G100000106709,L100000102165,India,https://www.gem.wiki/Marwa_power_station,Marwa power station,Unit 2,,,Chhattisgarh State Power Generation [100%],Chhattisgarh State Power Generation [100.0%],500,operating,2016,,,subcritical,subbituminous,Parsa coal block,,Marwa,,Janjgir-Champa,Chhattisgarh,Southern Asia,Asia,South Asia,22.070801,82.602189,exact,,,,,,"8,702","96,100",53.00%,2,67.6,Chhattisgarh State Power Generation Company Limited,Private,Government-owned commercial institution,Domestic,India,N/A,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000109663,L100000102722,Indonesia,https://www.gem.wiki/Sulawesi_Mining_power_station,Sulawesi Mining power station,Phase I Unit 1,,青山工业园自备电厂,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],65,operating,2015,,,Unknown,Unknown,,,,Morowali,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,SE Asia,-2.8255878,122.1554483,exact,,,"other metals & mining, nickel",power,,"10,326","96,100",53.00%,0.3,10.1,China Development Bank,Public,Governmental policy institution,International,China,N/A,loan,,"1,2",Closed,,N/A,N/A,"$2,164,000,000.00","$570,000,000.00","$285,000,000.00",PowerChina,,,,
G100000109664,L100000102722,Indonesia,https://www.gem.wiki/Sulawesi_Mining_power_station,Sulawesi Mining power station,Phase I Unit 2,,青山工业园自备电厂,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],65,operating,2015,,,Unknown,Unknown,,,,Morowali,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,SE Asia,-2.8255878,122.1554483,exact,,,"other metals & mining, nickel",power,,"10,326","96,100",53.00%,0.3,10.1,China Development Bank,Public,Governmental policy institution,International,China,N/A,loan,,"1,2",Closed,,N/A,N/A,"$2,164,000,000.00","$570,000,000.00","$285,000,000.00",PowerChina,,,,
G100000110939,L100000101920,Germany,https://www.gem.wiki/Wilhelmshaven_Engie_power_station,Wilhelmshaven Engie power station,--,,Wilhelmshaven Riverstone Holdings,Onyx Power [100%],Riverstone Holdings LLC,830,operating,2015,,,ultra-supercritical,bituminous,imported,,Wilhelmshaven,,,Lower Saxony,Western Europe,Europe,EU27,53.5748,8.137,exact,,,,,,"8,272","94,600",53.00%,3.2,101.8,Engie,Private,Privately-owned commercial institution,International,France,N/A,equity,,1,Closed,,N/A,N/A,"$1,998,526,984.00","$1,998,526,984.00","$1,998,526,984.00",,,,,
G100000100401,L100000103657,Türkiye,https://www.gem.wiki/Atlas_Enerji_%C4%B0skenderun_power_station,Atlas Enerji İskenderun power station,Unit 1,"Atlas Enerji, Atlas İskenderun Termik Santrali",,Atlas Enerji Üretim [100%],Diler Holding AŞ,600,operating,2014,,,supercritical,bituminous,,,,Azganlık,İskenderun,Hatay,Western Asia,Asia,non-EU Europe,36.69028,36.20909,exact,,,,,,"8,409","94,600",53.00%,2.3,72.5,Garanti Bank,Private,Privately-owned commercial institution,Domestic,Türkiye,N/A,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000109468,L100000103710,Türkiye,https://www.gem.wiki/%C5%9E%C4%B1rnak_Silopi_(C%C4%B0NER)_power_station,Şırnak Silopi (CİNER) power station,Unit 2,Silopi Termik Santrali,,Silopi Elektrik Üretim [100%],Ciner Group AŞ [90.4%]; GSD Holding [9.6%],135,operating,2015,,,CFB,lignite,,,,Silopi/Selçık,,Şırnak,Western Asia,Asia,non-EU Europe,37.310025,42.594696,exact,,,,,,"10,442","101,000",53.00%,0.7,22.3,Garanti Bank,Private,Privately-owned commercial institution,Domestic,Türkiye,N/A,loan,,1-3,Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000114249,L100000104597,Australia,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station,Collinsville (Shine Energy) power station,Unit 1,,,Shine Energy [100%],Shine Energy [100.0%],315,pre-permit,2028,,,Unknown,bituminous,,,Mannering Park,,,New South Wales,Australia and New Zealand,Oceania,Australia/NZ,-20.545051,147.804557,approximate,,,,,,"9,466","94,600",53.00%,1.4,55.3,TBD,N/A,Unknown,,N/A,,equity,,,Unknown,,,,,,,,,,,
G100001000595,L100000104597,Australia,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station,Collinsville (Shine Energy) power station,Unit 2,,,Shine Energy [100%],Shine Energy [100.0%],315,pre-permit,2031,,,Unknown,Unknown,,,Mannering Park,,,New South Wales,Australia and New Zealand,Oceania,Australia/NZ,-20.545051,147.804557,approximate,,,,,,"9,466","96,100",53.00%,1.4,56.1,TBD,N/A,Unknown,,N/A,,loan,,,Unknown,,,,,,,,,,,
G100000109469,L100000103710,Türkiye,https://www.gem.wiki/%C5%9E%C4%B1rnak_Silopi_(C%C4%B0NER)_power_station,Şırnak Silopi (CİNER) power station,Unit 3,Silopi Termik Santrali,,Silopi Elektrik Üretim [100%],Ciner Group AŞ [90.4%]; GSD Holding [9.6%],135,operating,2015,,,CFB,lignite,,,,Silopi/Selçık,,Şırnak,Western Asia,Asia,non-EU Europe,37.310025,42.594696,exact,,,,,,"10,442","101,000",53.00%,0.7,22.3,Garanti Bank,Private,Privately-owned commercial institution,Domestic,Türkiye,N/A,loan,,1-3,Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000114501,L100000103657,Türkiye,https://www.gem.wiki/Atlas_Enerji_%C4%B0skenderun_power_station,Atlas Enerji İskenderun power station,Unit 2,"Atlas Enerji, Atlas İskenderun Termik Santrali",,Atlas Enerji Üretim [100%],Diler Holding AŞ,600,operating,2014,,,supercritical,bituminous,,,,Azganlık,İskenderun,Hatay,Western Asia,Asia,non-EU Europe,36.69028,36.20909,exact,,,,,,"8,409","94,600",53.00%,2.3,72.5,Garanti Bank,Private,Privately-owned commercial institution,Domestic,Türkiye,N/A,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000109384,L100000102225,India,https://www.gem.wiki/Sikka_Thermal_Power_Station,Sikka Thermal Power Station,Unit 3,,,Gujarat State Electricity [100%],Gujarat Urja Vikas Nigam Ltd [100.0%],250,operating,2015,,,subcritical,Unknown,,,Sikka,Jamnagar,Jamnagar,Gujarat,Southern Asia,Asia,South Asia,22.420828,69.8276,exact,,,,,,"10,442","96,100",53.00%,1.2,39.3,Government of Gujarat,Public,Governmental policy institution,Domestic,India,N/A,loan,,N/A,Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000109385,L100000102225,India,https://www.gem.wiki/Sikka_Thermal_Power_Station,Sikka Thermal Power Station,Unit 4,,,Gujarat State Electricity [100%],Gujarat Urja Vikas Nigam Ltd [100.0%],250,operating,2015,,,subcritical,Unknown,,,Sikka,Jamnagar,Jamnagar,Gujarat,Southern Asia,Asia,South Asia,22.420828,69.8276,exact,,,,,,"10,442","96,100",53.00%,1.2,39.3,Government of Gujarat,Public,Governmental policy institution,Domestic,India,N/A,loan,,N/A,Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000108757,L100000103463,South Korea,https://www.gem.wiki/Samcheok_Green_power_station,Samcheok Green power station,Unit 1,삼척그린파워,삼척그린파워,Korea Southern Power [100%],Korea Electric Power Corp [100.0%],1022,operating,2016,,2046,ultra-supercritical,Unknown,,bioenergy - wood & other biomass (solids),Hosan,Wondeok,Samcheok,Gangwon,Eastern Asia,Asia,East Asia,37.186,129.341822,exact,,,,,,"8,272","96,100",53.00%,4,95.5,IBK Affiliates,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$1,581,587,437.00","$18,283,413.00","$9,141,706.50",,,,,
G100000108758,L100000103463,South Korea,https://www.gem.wiki/Samcheok_Green_power_station,Samcheok Green power station,Unit 2,삼척그린파워,삼척그린파워,Korea Southern Power [100%],Korea Electric Power Corp [100.0%],1022,operating,2017,,2047,ultra-supercritical,Unknown,,bioenergy - wood & other biomass (solids),Hosan,Wondeok,Samcheok,Gangwon,Eastern Asia,Asia,East Asia,37.186,129.341822,exact,,,,,,"8,272","96,100",53.00%,4,99.5,IBK Affiliates,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$1,581,587,437.00","$18,283,413.00","$9,141,706.50",,,,,
G100000108918,L100000104888,South Korea,https://www.gem.wiki/Shin_Seocheon_power_station,Shin Seocheon power station,--,신서천 발전소,"Sin Seocheon power station, New Seocheon power station, 신서천 발전소",Korea Midland Power [100%],Korea Electric Power Corp [100.0%],1018,operating,2021,,2051,ultra-supercritical,bituminous,,,Maryang-ri,Seocheon,,South Chungcheong,Eastern Asia,Asia,East Asia,36.144144,126.495938,exact,,,,,,"8,272","94,600",53.00%,3.9,113.2,IBK Affiliates,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,bond,,1,Closed,,N/A,N/A,"$313,862,182.00","$18,284,060.00","$18,284,060.00",,,,,
G100000109269,L100000103482,South Korea,https://www.gem.wiki/Shin_Boryeong_power_station,Shin Boryeong power station,Unit 2,신보령화력,"Sin Boryeong power station, Shin Poryong power station, f",Korea Midland Power [100%],Korea Electric Power Corp [100.0%],1000,operating,2017,,2047,ultra-supercritical,bituminous,,,Poryong-gun,Ocheon,Poryong,South Chungcheong,Eastern Asia,Asia,East Asia,36.384613,126.486169,exact,,,,,,"8,272","94,600",53.00%,3.8,95.8,IBK Affiliates,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$627,722,261.00","$36,566,018.00","$18,283,009.00",,,,,
G100000109277,L100000103482,South Korea,https://www.gem.wiki/Shin_Boryeong_power_station,Shin Boryeong power station,Unit 1,신보령화력,"Sin Boryeong power station, Shin Poryong power station, f",Korea Midland Power [100%],Korea Electric Power Corp [100.0%],1000,operating,2017,,2047,ultra-supercritical,bituminous,,,Poryong-gun,Ocheon,Poryong,South Chungcheong,Eastern Asia,Asia,East Asia,36.384613,126.486169,exact,,,,,,"8,272","94,600",53.00%,3.8,95.8,IBK Affiliates,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$627,722,261.00","$36,566,018.00","$18,283,009.00",,,,,
G100000109802,L100000103483,South Korea,https://www.gem.wiki/Taean_power_station,Taean power station,Unit 10,태안화력,태안화력,Korea Western Power [100%],Korea Electric Power Corp [100.0%],1050,operating,2017,,2047,ultra-supercritical,bituminous,,,Banggal,Wonbuk,Taean,South Chungcheong,Eastern Asia,Asia,East Asia,36.9055681,126.2346268,exact,,,,,,"8,272","94,600",53.00%,4,100.6,IBK Affiliates,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$466,504,842.00","$54,883,766.00","$27,441,883.00",,,,,
G100000109810,L100000103483,South Korea,https://www.gem.wiki/Taean_power_station,Taean power station,Unit 9,태안화력,태안화력,Korea Western Power [100%],Korea Electric Power Corp [100.0%],1050,operating,2016,,2046,ultra-supercritical,bituminous,,,Banggal,Wonbuk,Taean,South Chungcheong,Eastern Asia,Asia,East Asia,36.9055681,126.2346268,exact,,,,,,"8,272","94,600",53.00%,4,96.6,IBK Affiliates,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$466,504,842.00","$54,883,766.00","$27,441,883.00",,,,,
G100000106793,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Phase I Unit 2,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],150,operating,2013,,,subcritical,Unknown,"70% domestic, 30% imported",,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,"October 19, 2009 – Environmental Clearance","Year: 2009, Month: 10, Day: 19",,,,"11,313","96,100",53.00%,0.8,24,India Infrastructure Finance Company,Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
G100000106794,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Unit 3,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],350,construction,2024,,,subcritical,Unknown,"70% domestic, 30% imported",,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,"October 19, 2009 – Environmental Clearance; Environmental Clearance Compliance Form: 2009-06-03; Environmental Clearance Extension: 2013-10-09","Year: 2009, Month: 10, Day: 19",,,,"9,572","96,100",53.00%,1.6,63.1,India Infrastructure Finance Company,Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
G100000106795,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Unit 4,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],350,construction,2024,,,subcritical,Unknown,,,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,Terms of Reference: 2010-12-09,,,,,"9,572","96,100",53.00%,1.6,63.1,India Infrastructure Finance Company,Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
G100000108757,L100000103463,South Korea,https://www.gem.wiki/Samcheok_Green_power_station,Samcheok Green power station,Unit 1,삼척그린파워,삼척그린파워,Korea Southern Power [100%],Korea Electric Power Corp [100.0%],1022,operating,2016,,2046,ultra-supercritical,Unknown,,bioenergy - wood & other biomass (solids),Hosan,Wondeok,Samcheok,Gangwon,Eastern Asia,Asia,East Asia,37.186,129.341822,exact,,,,,,"8,272","96,100",53.00%,4,95.5,Industrial Bank of Korea,Private,Government-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$1,581,587,437.00","$18,283,413.00","$9,141,706.50",,,,,
G100000108758,L100000103463,South Korea,https://www.gem.wiki/Samcheok_Green_power_station,Samcheok Green power station,Unit 2,삼척그린파워,삼척그린파워,Korea Southern Power [100%],Korea Electric Power Corp [100.0%],1022,operating,2017,,2047,ultra-supercritical,Unknown,,bioenergy - wood & other biomass (solids),Hosan,Wondeok,Samcheok,Gangwon,Eastern Asia,Asia,East Asia,37.186,129.341822,exact,,,,,,"8,272","96,100",53.00%,4,99.5,Industrial Bank of Korea,Private,Government-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$1,581,587,437.00","$18,283,413.00","$9,141,706.50",,,,,
G100000108918,L100000104888,South Korea,https://www.gem.wiki/Shin_Seocheon_power_station,Shin Seocheon power station,--,신서천 발전소,"Sin Seocheon power station, New Seocheon power station, 신서천 발전소",Korea Midland Power [100%],Korea Electric Power Corp [100.0%],1018,operating,2021,,2051,ultra-supercritical,bituminous,,,Maryang-ri,Seocheon,,South Chungcheong,Eastern Asia,Asia,East Asia,36.144144,126.495938,exact,,,,,,"8,272","94,600",53.00%,3.9,113.2,Industrial Bank of Korea,Private,Government-owned commercial institution,Domestic,South Korea,N/A,bond,,1,Closed,,N/A,N/A,"$313,862,182.00","$3,046,863.00","$3,046,863.00",,,,,
G100000109269,L100000103482,South Korea,https://www.gem.wiki/Shin_Boryeong_power_station,Shin Boryeong power station,Unit 2,신보령화력,"Sin Boryeong power station, Shin Poryong power station, f",Korea Midland Power [100%],Korea Electric Power Corp [100.0%],1000,operating,2017,,2047,ultra-supercritical,bituminous,,,Poryong-gun,Ocheon,Poryong,South Chungcheong,Eastern Asia,Asia,East Asia,36.384613,126.486169,exact,,,,,,"8,272","94,600",53.00%,3.8,95.8,Industrial Bank of Korea,Private,Government-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$627,722,261.00","$6,093,727.00","$3,046,863.50",,,,,
G100000109277,L100000103482,South Korea,https://www.gem.wiki/Shin_Boryeong_power_station,Shin Boryeong power station,Unit 1,신보령화력,"Sin Boryeong power station, Shin Poryong power station, f",Korea Midland Power [100%],Korea Electric Power Corp [100.0%],1000,operating,2017,,2047,ultra-supercritical,bituminous,,,Poryong-gun,Ocheon,Poryong,South Chungcheong,Eastern Asia,Asia,East Asia,36.384613,126.486169,exact,,,,,,"8,272","94,600",53.00%,3.8,95.8,Industrial Bank of Korea,Private,Government-owned commercial institution,Domestic,South Korea,N/A,bond,,"1,2",Closed,,N/A,N/A,"$627,722,261.00","$6,093,727.00","$3,046,863.50",,,,,
G100000106138,L100000102996,Kenya,https://www.gem.wiki/Lamu_Power_Project,Lamu Power Project,Unit 1,,,Amu Power [100%],Centum Investment Group; Sichuan No 3 Power Construction Co; State Grid Corporation of China,350,cancelled,,,,ultra-supercritical,Unknown,South Africa,,Manda Bay,Lamu County,,Coast,Sub-Saharan Africa,Africa,Africa and Middle East,-2.291111,40.855556,exact,,,,,,"9,099","96,100",53.00%,1.5,60,African Development Bank,Public,Governmental policy institution,International,Côte d'Ivoire,N/A,loan,,1-3,Stopped,,,,"$2,000,000,000.00","$250,000,000.00","$33,333,333.33",PowerChina,,,,
G100000106139,L100000102996,Kenya,https://www.gem.wiki/Lamu_Power_Project,Lamu Power Project,Unit 2,,,Amu Power [100%],Centum Investment Group; Sichuan No 3 Power Construction Co; State Grid Corporation of China,350,cancelled,,,,ultra-supercritical,Unknown,South Africa,,Manda Bay,Lamu County,,Coast,Sub-Saharan Africa,Africa,Africa and Middle East,-2.291111,40.855556,exact,,,,,,"9,099","96,100",53.00%,1.5,60,African Development Bank,Public,Governmental policy institution,International,Côte d'Ivoire,N/A,loan,,1-3,Stopped,,,,"$2,000,000,000.00","$250,000,000.00","$33,333,333.33",PowerChina,,,,
G100000106140,L100000102996,Kenya,https://www.gem.wiki/Lamu_Power_Project,Lamu Power Project,Unit 3,,,Amu Power [100%],Centum Investment Group; Sichuan No 3 Power Construction Co; State Grid Corporation of China,350,cancelled,,,,ultra-supercritical,Unknown,South Africa,,Manda Bay,Lamu County,,Coast,Sub-Saharan Africa,Africa,Africa and Middle East,-2.291111,40.855556,exact,,,,,,"9,099","96,100",53.00%,1.5,60,African Development Bank,Public,Governmental policy institution,International,Côte d'Ivoire,N/A,loan,,1-3,Stopped,,,,"$2,000,000,000.00","$250,000,000.00","$33,333,333.33",PowerChina,,,,
G100000106793,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Phase I Unit 2,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],150,operating,2013,,,subcritical,Unknown,"70% domestic, 30% imported",,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,"October 19, 2009 – Environmental Clearance","Year: 2009, Month: 10, Day: 19",,,,"11,313","96,100",53.00%,0.8,24,Industrial Development Bank of India (IDBI),Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
G100000106794,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Unit 3,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],350,construction,2024,,,subcritical,Unknown,"70% domestic, 30% imported",,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,"October 19, 2009 – Environmental Clearance; Environmental Clearance Compliance Form: 2009-06-03; Environmental Clearance Extension: 2013-10-09","Year: 2009, Month: 10, Day: 19",,,,"9,572","96,100",53.00%,1.6,63.1,Industrial Development Bank of India (IDBI),Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
